filename,post_title,vimeo_id,youtube_id,youtube_title,youtube_url,confirmed
2018-09-25-droeloe-wake-the-warrior.md,DROELOE - Wake The Warrior,191871914,AhEHFwzbiTE,DROELOE - Wake The Warrior (Official Music Video),https://www.youtube.com/watch?v=AhEHFwzbiTE,YES
2018-09-25-fleet-foxes-i-am-all-that-i-need-arroyo-seco-thumbprint-scar.md,Fleet Foxes - I Am All That I Need / Arroyo Seco / Thumbprint Scar,288253462,N5-HmSF9vtQ,Fleet Foxes -  I Am All That I Need / Arroyo Seco / Thumbprint Scar (Official Video),https://www.youtube.com/watch?v=N5-HmSF9vtQ,YES
2018-09-25-gonjasufi-vinaigrette.md,GONJASUFI “VINAIGRETTE”,176479548,MIzsc_t_V0Y,Gonjasufi - Vinaigrette (Official Video),https://www.youtube.com/watch?v=MIzsc_t_V0Y,YES
2018-09-25-gravedgr-rampage.md,GRAVEDGR - RAMPAGE,280719701,slpWEl7nTwk,GRAVEDGR - RAMPAGE,https://www.youtube.com/watch?v=slpWEl7nTwk,YES
2018-09-25-head-in-the-clouds-a-midsummer-nights-dream.md,Head in the Clouds: a midsummer night’s dream,283748810,T-3oqrPHleQ,Head In The Clouds: a midsummer night's dream by 88rising,https://www.youtube.com/watch?v=T-3oqrPHleQ,YES
2018-09-25-hurray-for-the-riff-raff-palante.md,Hurray for the Riff Raff - Pa’lante,266748395,LilVDjLaZSE,Hurray For The Riff Raff - Pa'lante (Official Video),https://www.youtube.com/watch?v=LilVDjLaZSE,YES
2018-09-25-indochine-station-13.md,INDOCHINE | Station 13,280700712,J4Yg5HAjT2o,Indochine - Station 13 (Clip officiel),https://www.youtube.com/watch?v=J4Yg5HAjT2o,YES
2018-09-25-jon-hopkins-singularity.md,Jon Hopkins - Singularity,290574571,lkvnpHFajt0,Jon Hopkins - Singularity (Official Video),https://www.youtube.com/watch?v=lkvnpHFajt0,YES
2018-09-25-justice-love-s-o-s.md,JUSTICE - LOVE S.O.S,290501106,w6tNlYI3MdY,Justice - Love S.O.S. (WWW) [Official Video],https://www.youtube.com/watch?v=w6tNlYI3MdY,YES
2018-09-25-kemialliset-ystavat-pujottelua.md,Kemialliset Ystävät - “Pujottelua”,263449221,zQMtQERWSUs,Intro Animata - Sicilia Queer 2018,https://www.youtube.com/watch?v=zQMtQERWSUs,YES
2018-09-25-kormac-new-day-dir-cut.md,Kormac | New Day dir. cut,290253648,wvDo1mCkz2A,Kormac | New Day dir. cut,https://www.youtube.com/watch?v=wvDo1mCkz2A,YES
2018-09-25-lemaitre-higher-featuring-maty-noyes.md,LEMAITRE “HIGHER” Featuring Maty Noyes,253492200,bsENfTmAdeI,Lemaitre - Higher ft. Maty Noyes,https://www.youtube.com/watch?v=bsENfTmAdeI,YES
2018-09-25-overwerk-reign.md,OVERWERK - Reign,259668359,N-sDbJSXnYc,OVERWERK - Reign (Official Video),https://www.youtube.com/watch?v=N-sDbJSXnYc,YES
